CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
10,41,08-11-2017,26,15000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
10,41,08-11-2017,26,15000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
10,42,12-03-2018,147,713000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Killarney
10,42,05-12-2017,49,38742,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Renfrew-Collingwood
10,42,22-11-2017,36,27000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Grandview-Woodland
10,42,09-11-2017,23,15000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kitsilano
10,42,10-11-2017,23,40000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
4,17,31-08-2017,128,3350,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
4,17,16-08-2017,113,1650,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Renfrew-Collingwood
4,17,21-12-2017,239,159500,New Building,New Build - Low Density Housing,Dwelling Uses,2017,Sunset
4,17,26-06-2017,61,75000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Service Uses,2017,Downtown
4,17,16-01-2018,265,183412.5,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Dunbar-Southlands
4,17,18-05-2017,21,10000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
4,17,16-05-2017,19,3500,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Sunset
4,17,07-06-2017,40,820000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
4,17,12-05-2017,14,20000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Wholesale Uses,2017,Mount Pleasant
4,17,24-05-2017,26,575000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,09-06-2017,39,350000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,08-06-2017,37,5000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,18-05-2017,16,130000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,30-05-2017,27,98000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,13-06-2017,41,160000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,08-06-2017,35,85000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,West Point Grey
5,18,08-06-2018,400,1198250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Arbutus Ridge
5,18,19-01-2018,260,169250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
5,18,19-01-2018,259,704250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
5,18,30-05-2017,25,1000000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,29-05-2017,24,42000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,18,15-06-2017,41,3500,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Transportation and Storage Uses,2017,Sunset
5,18,29-05-2017,24,0,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
5,19,05-10-2017,150,2402500,New Building,New Build - Low Density Housing,Dwelling Uses,2017,Shaughnessy
5,19,28-09-2018,507,933128,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Shaughnessy
5,19,23-05-2018,378,1419250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kerrisdale
5,19,23-05-2018,378,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kerrisdale
5,19,14-06-2017,35,75000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Downtown
5,19,31-05-2017,21,120000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
5,19,11-07-2017,61,275000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
5,19,03-01-2018,236,356092.2,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Sunset
5,20,30-05-2017,15,15000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Marpole
5,20,12-10-2017,149,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2017,Shaughnessy
5,20,09-06-2017,24,35000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Mount Pleasant
5,20,02-03-2018,289,12800,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Renfrew-Collingwood
5,20,09-06-2017,23,34300,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
