CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
6,23,43031,140,715000,2,1,Dwelling Uses,2017,Hastings-Sunrise
6,23,42906,15,120000,1,3,Office Uses,2017,Downtown
6,23,42955,63,50000,1,4,Dwelling Uses,2017,Downtown
6,23,43036,143,1713750,2,1,Dwelling Uses,2017,Shaughnessy
6,23,43026,133,160780,2,2,Dwelling Uses,2017,Grandview-Woodland
6,24,42905,9,650000,1,3,Office Uses,2017,Downtown
6,24,42925,27,100000,1,4,Dwelling Uses,2017,Kerrisdale
6,24,43085,187,225000,2,1,Dwelling Uses,2017,Renfrew-Collingwood
6,24,42911,12,20000,1,3,Office Uses,2017,Downtown
6,24,43191,292,225000,2,2,Dwelling Uses,2018,West Point Grey
6,24,42924,25,30000,1,3,Office Uses,2017,Downtown
6,24,42921,21,50000,1,4,Dwelling Uses,2017,West End
6,24,43088,188,645750,2,1,Dwelling Uses,2017,Riley Park
6,24,43045,145,225000,2,1,Dwelling Uses,2017,Shaughnessy
6,25,42946,42,20000,1,3,Retail Uses,2017,Marpole
8,32,44825,413,1160750,2,1,Dwelling Uses,2022,Victoria-Fraserview
8,32,44633,221,894605,2,1,Dwelling Uses,2022,Kensington-Cedar Cottage
8,33,44502,86,25000,1,4,Dwelling Uses,2021,Grandview-Woodland
8,33,44605,188,762090,2,1,Dwelling Uses,2022,Sunset
8,33,44438,21,280000,1,3,Office Uses,2021,Downtown
8,33,44621,203,715650,2,1,Dwelling Uses,2022,Renfrew-Collingwood
8,33,44744,326,703687.5,2,1,Dwelling Uses,2022,Arbutus Ridge
8,33,44593,174,175915,2,2,Dwelling Uses,2022,Riley Park
8,33,44830,411,1425000,2,1,Dwelling Uses,2022,Killarney
8,33,44433,14,50000,1,3,Office Uses,2021,Downtown
8,34,44454,32,35000,1,4,Dwelling Uses,2021,Fairview
8,34,44566,144,161000,2,2,Dwelling Uses,2022,Kitsilano
8,34,44502,79,998825,2,1,Dwelling Uses,2021,Kitsilano
8,34,44661,238,209550,2,1,Dwelling Uses,2022,West Point Grey
8,34,44460,37,750000,1,3,Office Uses,2021,Downtown
8,34,44458,33,20000,1,4,Dwelling Uses,2021,Kitsilano
8,34,44454,29,25000,1,3,Office Uses,2021,Mount Pleasant
8,34,44675,250,149250,2,1,Dwelling Uses,2022,Renfrew-Collingwood
8,34,44454,28,19500,1,4,Dwelling Uses,2021,Kitsilano
8,35,44461,32,150000,1,4,Dwelling Uses,2021,Downtown
8,35,44697,268,224452.5,2,1,Dwelling Uses,2022,Kerrisdale
8,35,44566,136,250000,2,2,Dwelling Uses,2022,Killarney
8,35,44787,357,768885,2,1,Dwelling Uses,2022,
8,35,44521,89,19999,1,4,Dwelling Uses,2021,West Point Grey
8,35,44587,155,120000,1,4,Dwelling Uses,2022,Kensington-Cedar Cottage
8,35,44537,104,225000,2,2,Dwelling Uses,2021,Killarney
8,36,44482,46,100000,1,4,Dwelling Uses,2021,Fairview
8,36,44460,24,30000,1,4,Dwelling Uses,2021,West End
8,36,44460,24,30000,1,4,Dwelling Uses,2021,West End
8,36,44489,52,75000,1,3,Office Uses,2021,Strathcona
9,36,44537,99,300000,1,3,Institutional Uses,2021,Downtown
9,36,44788,350,249225,2,1,Dwelling Uses,2022,Kerrisdale
9,36,44479,40,300000,1,3,Retail Uses,2021,Kitsilano
9,36,44692,253,697750,2,1,Dwelling Uses,2022,Marpole
9,37,44468,24,73000,1,4,Dwelling Uses,2021,West End
9,37,44810,366,704750,2,1,Dwelling Uses,2022,Hastings-Sunrise
9,37,44466,22,77000,1,3,Manufacturing Uses,2021,Marpole
9,37,44468,24,20000,1,4,Dwelling Uses,2021,West End
9,37,44495,51,15000,1,3,Cultural/Recreational Uses,2021,Strathcona
9,37,44466,21,98500,1,3,Office Uses,2021,Downtown
9,37,44502,56,860922.5,2,1,Dwelling Uses,2021,Kitsilano
9,38,44934,484,204005,2,2,Dwelling Uses,2023,Hastings-Sunrise
