Region,Consumption (ekWh),Floor area (ft2),EUI (kW/ft2),Emission (tCO2e),Emissions per Floor Area (KgCO2e/sq. ft),Reporting Year
Interior,148197.87,16530,8.965388385,1.581271273,0.095660694,2018
Interior,161238.94,16530,9.754321839,1.720419490,0.104078614,2019
Interior,145886.1,16530,8.825535390,1.556604687,0.094168463,2020
Interior,127737.19,16529.921948733,7.727634189,1.239050539,0.074958039,2021
Interior,132278.73,16529.929065800,8.002377353,1.520993749,0.092014536,2022
Vancouver Coastal,469686.43,36088,13.015030758,5.011554208,0.138870378,2018
Vancouver Coastal,487639.94,36008,13.542544435,5.203118160,0.144498949,2019
Vancouver Coastal,498263.1,36008,13.837566652,5.316467277,0.147646836,2020
Vancouver Coastal,466989.39,36007.971321498,12.969055819,4.529796336,0.125799821,2021
Vancouver Coastal,450402.15,36007.986824968,12.508395768,5.178904082,0.143826538,2022
Northern,45851.94,8544,5.366566011,0.489240200,0.057261259,2018
Northern,45403.56,8544,5.314087079,0.484455985,0.056701309,2019
Northern,42402.41,8544,4.962828886,0.452433715,0.052953384,2020
Northern,42565.71,8543.961532368,4.981964144,0.412887319,0.048325044,2021
Northern,46634.38,8543.965211027,5.458165951,0.536220755,0.062760175,2022
Northern,157543.89,49728,3.168112331,1.680993306,0.033803759,2018
Northern,131542.99,49728,2.645249960,1.403563703,0.028224817,2019
Northern,159931.21,49728,3.216119892,1.706466011,0.034315999,2020
Northern,149665.1,49727.974455949,3.009676176,1.451751231,0.029193854,2021
Northern,157247.03,49727.995866657,3.162142919,1.808089250,0.036359584,2022
Fraser,30993.67,5982,5.181155132,0.330702459,0.055282925,2018
Fraser,31689.6,5982,5.297492477,0.338128032,0.056524245,2019
Fraser,24198.46,5982,4.045212304,0.258197568,0.043162415,2020
Fraser,27546.86,5981.935574982,4.605007803,0.267204498,0.044668568,2021
Fraser,29317.32,5981.938150544,4.900973441,0.337102272,0.056353353,2022
Interior,307165.47,16578,18.528499819,3.277455565,0.197699093,2018
Interior,289683.65,16578,17.473980577,3.090924546,0.186447373,2019
Interior,277959.62,16578,16.766776451,2.965829145,0.178901505,2020
Interior,264692.49,16577.928989191,15.966559525,2.567516729,0.154875602,2021
Interior,277092.3,16577.936126928,16.714523321,3.186118102,0.192190275,2022
Interior,237939.87,18000,13.218881667,2.538818413,0.141045467,2018
Interior,238392.88,18000,13.244048889,2.543652030,0.141314002,2019
Interior,227598.86,18000,12.644381111,2.428479836,0.134915546,2020
Interior,228333.21,17999.949194343,12.685214138,2.214831772,0.123046557,2021
Interior,244503.1,17999.956944340,13.583538047,2.811394445,0.156188954,2022
Northern,218792.66,14947,14.637897906,2.334517682,0.156186371,2018
Northern,220134.92,14947,14.727699204,2.348839596,0.157144551,2019
Northern,209862.12,14947,14.040417475,2.239228820,0.149811254,2020
Northern,200271.69,14946.981282851,13.398805164,1.942635073,0.129968389,2021
Northern,217324.98,14946.987718373,14.539717574,2.498889550,0.167183489,2022
Interior,154229.06,20016,7.705288769,1.645624070,0.082215431,2018
